market,industry_code,sector
TWSE,01,水泥
TWSE,02,食品
TWSE,03,塑膠
TWSE,04,紡織
TWSE,05,電機機械
TWSE,06,電器電纜
TWSE,08,玻璃陶瓷
TWSE,09,造紙
TWSE,10,鋼鐵
TWSE,11,橡膠
TWSE,12,汽車
TWSE,14,建材營造
TWSE,15,航運
TWSE,16,觀光
TWSE,17,金融
TWSE,18,貿易百貨
TWSE,20,其他
TWSE,21,化學
TWSE,22,生技
TWSE,23,油電燃氣
TWSE,24,半導體
TWSE,25,電腦及週邊
TWSE,26,光電
TWSE,27,通信網路
TWSE,28,電子零組件
TWSE,29,電子通路
TWSE,30,資訊服務
TWSE,31,其他電子
TWSE,32,文化創意
TWSE,33,農業科技
TWSE,34,電子商務
TPEx,01,水泥
TPEx,02,食品
TPEx,03,塑膠
TPEx,04,紡織
TPEx,05,電機機械
TPEx,06,電器電纜
TPEx,10,鋼鐵
TPEx,11,橡膠
TPEx,14,建材營造
TPEx,15,航運
TPEx,16,觀光
TPEx,17,金融
TPEx,20,其他
TPEx,21,化學
TPEx,22,生技
TPEx,24,半導體
TPEx,25,電腦及週邊
TPEx,26,光電
TPEx,27,通信網路
TPEx,28,電子零組件
TPEx,29,電子通路
TPEx,30,資訊服務
TPEx,31,其他電子
TPEx,32,文化創意
TPEx,33,農業科技
TPEx,34,電子商務
